,A̱o,tasa_fecundidad,razon_fecundidad
0,1990,2.79,1.69
1,1991,2.21,1.38
2,1992,2.3,1.4
3,1993,2.22,1.35
4,1994,2.22,1.4
5,1995,1.93,1.17
6,1996,1.98,1.2
7,1997,1.83,1.13
8,1998,2.18,1.33
9,1999,2.43,1.47
10,2000,2.7,1.63
11,2001,2.63,1.56
12,2002,2.58,1.54
13,2003,2.08,1.25
14,2004,2.1,1.27
15,2005,2.51,1.51
16,2006,2.52,1.51
17,2007,2.49,1.52
18,2008,2.47,1.49
19,2009,2.6,1.56
20,2010,2.42,1.46
21,2011,2.33,1.39
22,2012,2.5,1.5
23,2013,2.15,1.29
24,2014,2.29,1.37
25,2015,2.21,1.32
26,2016,2.19,1.31
27,2017,2.16,1.3
28,2018,2.14,1.29
29,2019,2.14,1.29
30,2020,2.13,1.28
